gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
MBNL1	194580	402	27	3052301	762832	0	2	0	0	50	36	53396294	5.182553e-01	1
ITM2C	1020678	519	45	1858430	546826	0	2	1	0	6	3	6235957	5.183402e-01	1
ABCA12	526764	857	9	18481162	4943813	0	9	0	0	2	4	12590620	5.183500e-01	1
RASGEF1C	1740168	432	23	3319876	921431	0	3	1	0	50	31	43504776	5.183605e-01	1
GRASP	468067	234	41	2648506	906836	0	2	1	0	50	33	44104144	5.183643e-01	1
NUP210	359039	285	48	13000253	3994165	0	8	3	0	50	22	59016342	5.184350e-01	1
SF3A2	1603571	240	27	3132087	1033326	0	1	2	0	37	18	38262252	5.184520e-01	1
RNF121	737476	311	53	2352714	612990	0	1	0	0	50	15	39117519	5.184723e-01	1
OR1G1	445889	579	-8	2111410	638288	0	2	1	0	50	23	40793025	5.185977e-01	1
RIBC2	460724	199	8	2716616	666505	0	1	0	0	50	39	55929013	5.186249e-01	1
GMFB	466180	371	28	1081003	247142	0	2	0	0	50	42	47335477	5.186611e-01	1
HNRNPK	460176	343	2	3417176	926296	0	1	1	0	50	29	51351048	5.187511e-01	1
CD58	692758	418	19	1802969	459256	0	1	0	0	50	28	60134319	5.187554e-01	1
FGF21	1635420	190	44	1389444	472878	0	1	0	0	50	32	57593816	5.187899e-01	1
SLC22A9	1061448	478	28	3847242	1109220	0	5	1	0	50	59	63874531	5.189082e-01	1
EPHX1	925960	168	8	3217711	868889	0	3	0	0	50	27	51521323	5.189959e-01	1
ADORA2A	611616	186	54	2739968	888349	0	2	1	0	50	35	55232345	5.190525e-01	1
PSMB3	1198833	207	37	1479933	394065	0	2	0	0	50	27	49691110	5.190935e-01	1
PDE2A	741790	193	55	7031871	1859403	0	4	1	0	50	32	56576058	5.192285e-01	1
KIF27	464240	285	5	9918762	2557044	0	9	0	0	9	5	11014360	5.192945e-01	1
BMP3	10953	1083	4	3228414	936999	0	4	0	0	50	52	56000042	5.193097e-01	1
HP	438866	372	19	2877161	762832	0	1	0	0	50	17	57419649	5.194849e-01	1
RTF1	820644	237	37	5132575	1297982	0	3	2	0	20	11	19773306	5.195065e-01	1
SLC7A4	577297	192	58	4166386	1449770	0	2	2	0	50	35	57408946	5.195271e-01	1
FAM160B2	584373	219	34	4711266	1409877	0	4	1	0	50	28	58298268	5.195459e-01	1
ENDOD1	273779	513	16	3361715	1037218	0	3	0	0	32	20	37598666	5.195758e-01	1
NHLRC2	266343	515	18	5078087	1405012	0	2	0	0	46	29	52711302	5.197003e-01	1
MRPL37	465615	313	26	2926784	862078	0	1	0	0	50	33	50238909	5.197022e-01	1
KIT	92734	649	0	6975437	1819510	0	5	3	0	23	17	25903206	5.197443e-01	1
PCGF3	672497	312	27	1800050	421309	0	1	0	0	50	38	70289520	5.198359e-01	1
PZP	352696	301	19	10469480	2931649	0	5	5	0	28	25	39458069	5.198779e-01	1
NSMAF	200152	574	17	7078575	1765995	0	5	1	0	50	19	43504776	5.199237e-01	1
CINP	1659098	214	32	1684263	396984	0	1	0	0	50	26	57344728	5.199982e-01	1
H3F3C	271605	394	20	898079	298711	0	1	1	0	4	1	3376310	5.201256e-01	1
KRT38	1321356	424	-6	3155439	916566	0	4	1	0	50	38	46116308	5.201869e-01	1
PRICKLE4	429684	341	47	2659209	782292	0	2	0	0	50	30	53592840	5.202266e-01	1
MGAT1	830596	566	25	2949163	956459	0	3	1	0	50	52	77635670	5.202712e-01	1
RHOXF1	NaN	NaN	NaN	1286306	362929	0	1	0	0	50	88	108720101	5.203186e-01	1
KLF11	922437	234	42	3459015	1074192	0	2	0	0	50	32	69197814	5.203238e-01	1
TM4SF18	529009	254	8	1437121	396011	0	1	0	0	50	51	74601856	5.203327e-01	1
LMX1B	106522	480	39	2932622	780346	0	3	1	0	50	42	68062323	5.204019e-01	1
LRRK1	402246	363	12	13981037	4046707	0	7	6	0	50	37	66566822	5.204041e-01	1
MOCS1	45558	966	22	2963758	886403	0	4	2	0	11	7	10174661	5.204984e-01	1
MPHOSPH8	306203	602	18	6154225	1543178	0	5	1	0	29	22	41287309	5.205125e-01	1
DMKN	954618	367	35	4100222	1177330	0	3	1	0	50	39	54310914	5.205511e-01	1
CNNM4	936233	332	49	5260038	1611288	0	7	0	0	1	1	3247874	5.206083e-01	1
CYP2C18	250078	725	1	3482367	910728	0	3	2	0	29	25	39928028	5.206182e-01	1
CDR2	483001	235	50	3176845	854294	0	2	1	0	50	26	49837060	5.206648e-01	1
LMBR1	338947	615	6	3527125	959378	0	4	1	0	50	42	53949931	5.206670e-01	1
HOXA2	356045	385	28	2557044	756021	0	2	0	0	50	22	62073508	5.208791e-01	1
HOXC4	1185281	279	54	1831186	518609	0	3	2	0	9	6	7508641	5.210397e-01	1
F11	364737	606	-12	4486503	1155924	0	3	1	0	50	26	43529101	5.210474e-01	1
WFIKKN1	1115707	213	39	3648750	1176357	0	3	1	0	50	24	46380964	5.211112e-01	1
CARS	547495	237	43	6185361	1523718	0	6	0	0	50	38	51567054	5.211917e-01	1
DCPS	367696	426	30	2337146	681100	0	2	1	0	18	12	23167130	5.211954e-01	1
MXRA8	1744013	273	28	3037706	952567	0	1	2	0	50	36	62310920	5.212123e-01	1
THYN1	270350	623	21	1659938	400876	0	1	0	0	50	27	48918548	5.212606e-01	1
CASP7	200770	587	0	2760401	500122	0	2	0	0	50	41	57212400	5.213503e-01	1
AHSA1	504548	359	47	2431527	630504	0	2	1	0	50	39	57656088	5.214168e-01	1
MMP15	856192	158	9	4578938	1393336	0	3	2	0	50	28	52789142	5.214586e-01	1
CPSF7	1394229	286	57	3533936	1098517	0	3	0	0	50	39	48980820	5.214693e-01	1
CCDC114	1265470	217	34	4702509	1325226	0	6	3	0	50	41	50812979	5.217611e-01	1
KRTAP13-2	4608	1035	-69	1179276	367794	0	2	0	0	50	46	38724427	5.217797e-01	1
ZSCAN5B	486579	522	-32	3416203	962297	0	3	1	0	50	36	46289502	5.218038e-01	1
FANCB	111662	NaN	21	6056925	1567503	0	4	0	0	50	33	57913933	5.218045e-01	1
ACO1	290567	424	-18	6294337	1732913	0	4	1	0	50	24	51059148	5.218238e-01	1
LEP	925335	373	30	1153978	340550	0	1	1	0	46	38	46547347	5.218249e-01	1
DNPEP	604261	335	38	3418149	1001217	0	3	0	0	50	37	51999066	5.218749e-01	1
GGA1	1136064	180	65	4630507	1347605	0	3	1	0	50	39	52775520	5.220304e-01	1
FRMPD2	112127	451	35	9199715	2598883	0	3	0	0	15	5	19571895	5.220488e-01	1
ABCE1	189309	1139	32	4357094	1104355	0	2	1	0	50	24	56312375	5.222047e-01	1
NGLY1	216966	701	-1	4919488	1245440	0	7	0	0	1	0	2464609	5.222591e-01	1
MRPL40	650407	300	16	1452689	400876	0	1	0	0	50	36	55647816	5.224158e-01	1
SPAG17	192120	741	-7	16014607	4021409	0	10	1	0	12	8	16071041	5.225949e-01	1
AMOTL2	303429	189	21	5277552	1666749	0	2	0	0	50	21	67141865	5.226097e-01	1
ZDHHC8	503106	277	64	5534424	1911945	0	5	3	0	50	34	47220663	5.227099e-01	1
CLIC6	284989	406	43	4655805	1418634	0	2	1	0	50	24	63271271	5.227739e-01	1
SH2B3	466447	479	47	3848215	1277549	0	4	0	0	50	42	64519630	5.229061e-01	1
TGM6	611435	477	30	4921434	1415715	0	8	3	0	5	6	5724159	5.229356e-01	1
VWF	1716132	481	15	19787901	5443935	0	16	6	0	50	41	57756307	5.230258e-01	1
PLA2R1	260653	401	24	10633917	2542449	0	5	0	0	3	0	5321337	5.231179e-01	1
FGD6	370367	544	32	10190229	2574558	0	4	0	0	14	4	23488220	5.232735e-01	1
LCNL1	1979517	188	34	1117004	351253	0	1	0	0	50	50	57522787	5.233021e-01	1
RXFP1	151976	534	-10	5475071	1372903	0	3	1	0	50	49	70233086	5.233809e-01	1
TSPAN16	1385739	197	31	1709561	514717	0	1	0	0	50	35	60758985	5.233836e-01	1
FUCA2	338098	401	20	3285821	888349	0	1	1	0	50	41	67998105	5.234877e-01	1
RALGPS2	364466	434	-2	4283146	1052786	0	3	0	0	50	24	52743411	5.237313e-01	1
CNIH2	2133752	236	53	1168573	299684	0	1	1	0	8	10	8121631	5.238430e-01	1
PSMA2	163131	744	-6	1687182	458283	0	1	0	0	50	33	53124827	5.238972e-01	1
DNAJC3	204387	552	41	3664318	886403	0	2	1	0	50	29	57928528	5.239028e-01	1
CRTAC1	530090	369	12	4724888	1235710	0	7	3	0	5	9	8719053	5.240906e-01	1
LRRC6	188389	902	-4	3428852	794941	0	2	0	0	50	20	43261526	5.241791e-01	1
FRYL	287083	428	52	21428379	5677455	0	11	2	0	8	5	17451728	5.242691e-01	1
KCNT2	37679	1035	-24	8172227	2096815	0	15	3	0	35	64	53165693	5.243446e-01	1
DUSP8	NaN	NaN	NaN	4120655	1419607	0	4	2	0	30	27	44219931	5.244331e-01	1
OXGR1	111002	623	-10	2304064	667478	0	2	0	0	16	19	17872064	5.244352e-01	1
DENND5A	672390	330	31	9070306	2465582	0	4	2	0	12	4	10882032	5.245009e-01	1
ECM2	579226	474	38	4944786	1290198	0	4	0	0	50	43	68104162	5.245155e-01	1
MANEA	29596	1315	-6	3243982	857213	0	2	0	0	50	33	55980582	5.246328e-01	1
CNDP2	162468	969	7	3372418	924350	0	3	1	0	50	31	53102448	5.247528e-01	1
SF3B1	736523	276	30	9235716	2542449	0	9	2	0	50	45	61787446	5.247990e-01	1
RNF25	1033606	269	43	3201170	949648	0	2	0	0	16	16	22803228	5.248768e-01	1
C11orf45	NaN	NaN	NaN	1012893	300657	0	1	0	0	50	88	108657829	5.249008e-01	1
RAB6B	530925	520	25	1529556	382389	0	1	0	0	50	22	44107063	5.249087e-01	1
SELP	294306	478	6	5925570	1541232	0	4	1	0	50	26	60170320	5.251159e-01	1
BBS12	134067	172	14	4854297	1383606	0	3	3	0	50	27	51684787	5.251631e-01	1
MMP21	216532	351	-6	3923136	1138410	0	3	0	0	2	1	5098520	5.251985e-01	1
POU2F2	855248	369	32	3265388	955486	0	4	2	0	50	42	55207047	5.252388e-01	1
FAM167B	1427362	210	43	1083922	363902	0	1	0	0	50	66	70437416	5.253354e-01	1
TMCO4	668417	220	29	4359040	1353443	0	3	0	0	29	20	30846046	5.253510e-01	1
ADCY9	740126	140	19	9267825	2705913	0	9	2	0	40	24	45847760	5.255068e-01	1
RNPC3	NaN	NaN	NaN	1013866	296765	0	1	0	0	50	88	108653937	5.256682e-01	1
C12orf66	472096	296	-17	3080518	854294	0	2	0	0	50	47	64141133	5.258341e-01	1
GABRP	216977	618	19	3137925	828996	0	2	1	0	50	23	44171281	5.258910e-01	1
MGST1	266051	641	-23	1087814	313306	0	1	0	0	50	52	69913942	5.261614e-01	1
CCL13	40425	871	-32	706398	189735	0	1	0	0	50	63	54573624	5.264404e-01	1
RNF13	536427	340	14	2747752	702506	0	2	0	0	50	37	61180294	5.265347e-01	1
SLC2A8	700547	270	42	3235225	1061543	0	4	2	0	38	36	40906866	5.265533e-01	1
KDM5B	463071	378	35	10891762	2941379	0	7	0	0	15	6	16537108	5.265722e-01	1
FRMD3	494570	610	-26	4295795	1092679	0	3	1	0	50	33	48623729	5.265938e-01	1
GABRA4	104768	839	15	3864756	1088787	0	2	1	0	50	24	52057446	5.267398e-01	1
PLEKHA5	149622	577	-29	8764784	2242765	0	5	0	0	2	0	4364878	5.267492e-01	1
THOC7	153669	826	-6	1529556	347361	0	3	0	0	50	56	52859198	5.268576e-01	1
KCTD3	82180	597	-30	5747511	1596693	0	4	2	0	50	60	53822468	5.269911e-01	1
FCGRT	2080142	210	41	2492826	782292	0	2	0	0	50	39	59676036	5.270033e-01	1
RABEP1	1246822	382	24	6220389	1535394	0	4	2	0	50	36	58778930	5.270179e-01	1
PCOLCE2	398812	422	15	2937487	798833	0	1	1	0	50	33	48952603	5.270547e-01	1
ASB3	NaN	NaN	NaN	3696427	985649	0	2	0	0	50	88	109342821	5.272131e-01	1
XIRP1	163147	452	44	12229637	3929947	0	11	3	0	50	32	66213623	5.272565e-01	1
CD6	802735	546	56	4645102	1353443	0	2	0	0	50	43	68980835	5.273627e-01	1
B4GALNT4	1454043	344	48	7105819	2229143	0	9	1	0	3	1	3032841	5.273696e-01	1
ALDH6A1	495634	236	40	3747023	1081003	0	6	3	0	11	9	9908059	5.274535e-01	1
NXNL1	899127	211	26	1428364	454391	0	1	1	0	50	33	49490672	5.274536e-01	1
YIPF7	62950	1034	-6	1987839	542934	0	2	0	0	50	49	55302401	5.275491e-01	1
ARL1	283715	649	2	1319388	332766	0	1	0	0	50	38	50849953	5.276465e-01	1
CD2BP2	2312884	165	47	2387742	677208	0	1	0	0	50	38	52026310	5.278659e-01	1
HNF1B	553994	403	28	3897838	1081976	0	3	1	0	50	31	51019255	5.279361e-01	1
PALMD	272208	540	-15	3917298	998298	0	4	0	0	50	62	68616933	5.279614e-01	1
ACTL9	536422	487	-47	2717589	939918	0	3	2	0	50	85	84555646	5.280515e-01	1
CYP1B1	716797	384	25	3640966	1143275	0	2	1	0	50	36	81108307	5.280640e-01	1
CXCL9	489826	399	43	907809	236439	0	1	1	0	9	5	6572615	5.281107e-01	1
ABLIM1	267957	257	13	5955733	1566530	0	7	1	0	50	48	54649518	5.281667e-01	1
AHR	370010	410	2	5990761	1560692	0	3	0	0	4	0	4520558	5.281839e-01	1
SHQ1	140728	510	21	4095357	1082949	0	2	1	0	50	24	53886686	5.283033e-01	1
FAM89A	376655	616	12	1218196	419363	0	1	0	0	50	48	55856038	5.284172e-01	1
SHISA7	NaN	NaN	NaN	3459015	1296036	0	3	0	0	50	88	109653208	5.284310e-01	1
KDSR	201946	278	77	2349795	671370	0	2	1	0	16	11	17319400	5.284580e-01	1
ZNF707	2198262	229	33	2590126	714182	0	3	1	0	50	45	59065965	5.285932e-01	1
TXLNG	289514	NaN	39	3789835	953540	0	2	0	0	50	25	59524248	5.286649e-01	1
TGFA	715918	463	13	1146194	322063	0	1	0	0	50	37	52918551	5.287563e-01	1
GPR87	NaN	NaN	NaN	2494772	678181	0	2	0	0	50	88	109035353	5.290142e-01	1
CUTA	1441897	236	31	1464365	479689	0	1	0	0	50	37	54287562	5.290147e-01	1
ETV4	1093430	148	21	3436636	950621	0	4	1	0	50	38	50776978	5.290534e-01	1
OR2T11	116628	850	-20	2116275	659694	0	2	0	0	50	43	53398240	5.290898e-01	1
TAS2R31	365490	676	-2	2112383	613963	0	3	1	0	50	47	48788166	5.290912e-01	1
ZBTB41	222912	614	-19	6502559	1577233	0	7	0	0	3	2	4818296	5.291184e-01	1
POLR1C	1278255	230	56	2700075	761859	0	3	0	0	50	37	54542488	5.291915e-01	1
IER2	1948449	221	41	1462419	499149	0	1	0	0	50	39	58617412	5.292107e-01	1
GNA14	180930	608	-10	2543422	644126	0	4	0	0	5	3	6312824	5.294216e-01	1
C12orf49	228972	411	-2	1476041	374605	0	1	0	0	50	30	55878417	5.294266e-01	1
PSMC2	355264	620	17	3122357	812455	0	2	0	0	50	35	56828065	5.294778e-01	1
CD163	665695	608	13	8148875	2169790	0	7	3	0	25	17	26676741	5.295127e-01	1
ZNF75A	1397628	303	32	2139627	496230	0	2	1	0	7	5	7485289	5.296411e-01	1
CST1	160568	881	-48	995379	277305	0	1	0	0	50	42	43413314	5.296944e-01	1
SND1	566402	650	22	6415962	1830213	0	5	0	0	39	21	38938487	5.296945e-01	1
CLTC	1083057	398	23	11911466	3127222	0	6	2	0	34	18	38839241	5.297680e-01	1
TNFSF8	241285	318	-9	1638532	454391	0	2	0	0	50	32	54814928	5.298597e-01	1
C12orf74	208773	509	-1	1303820	418390	0	1	1	0	30	18	25393354	5.299039e-01	1
GINS1	611174	335	-5	1431283	363902	0	1	0	0	50	36	53100502	5.299199e-01	1
LDHAL6A	611782	176	31	2368282	629531	0	2	0	0	36	26	36359064	5.299519e-01	1
RIMBP2	225009	632	-35	7270256	2149357	0	8	5	0	14	18	15410374	5.299526e-01	1
DACT1	303507	489	32	5619075	1745562	0	4	2	0	50	26	54674816	5.299846e-01	1
SDHB	678965	221	52	2018002	524447	0	2	0	0	50	39	57285375	5.300034e-01	1
CSNK1A1	607110	152	32	2674777	647045	0	2	0	0	50	33	54889849	5.300110e-01	1
TMPRSS5	124189	613	12	3212846	937972	0	2	1	0	50	36	60162536	5.300250e-01	1
MMEL1	323457	335	30	5610318	1494528	0	2	2	0	35	16	34170787	5.301221e-01	1
KCNJ11	454503	598	14	2603748	820239	0	3	1	0	50	50	56279293	5.302736e-01	1
UBQLN4	2005405	213	39	4144980	1249332	0	4	0	0	8	8	10086118	5.303318e-01	1
LSR	767246	472	7	4445637	1354416	0	4	3	0	32	30	28678202	5.304334e-01	1
BCL11B	316817	629	-40	5995626	1876917	0	9	3	0	50	58	58787687	5.304600e-01	1
AUH	124246	342	24	2376066	712236	0	1	0	0	50	20	56580923	5.305203e-01	1
FXYD5	745516	357	-9	1284360	370713	0	1	0	0	50	37	48805680	5.305248e-01	1
CRTAP	513008	372	33	2830457	759913	0	2	0	0	50	30	57951880	5.306231e-01	1
DPPA2	22565	1096	-19	2162979	548772	0	3	1	0	50	59	52035067	5.306935e-01	1
MPP4	466105	534	28	4683049	1149113	0	4	0	0	19	9	19354916	5.307287e-01	1
PPP1R11	1820240	496	30	874727	260764	0	2	1	0	50	51	51632245	5.307623e-01	1
TBC1D22A	310166	538	-25	3694481	981757	0	3	0	0	50	71	70039459	5.308040e-01	1
SLC35F3	277114	649	1	3383121	998298	0	2	2	0	50	37	50838277	5.308255e-01	1
NAALADL1	3267059	207	46	5112142	1581125	0	3	0	0	2	0	3840431	5.308948e-01	1
CYP4F2	825892	575	15	3679886	1019704	0	3	0	0	50	58	60567304	5.308959e-01	1
ICAM2	1455216	404	25	1895404	568232	0	2	1	0	50	37	51136988	5.310467e-01	1
TRPM2	1023429	308	54	10571645	2966677	0	11	4	0	46	32	46595024	5.310636e-01	1
DHRS7C	77786	204	-62	2169790	626612	0	2	1	0	40	36	44247175	5.312461e-01	1
CLC	1286220	526	26	1030407	262710	0	1	1	0	16	23	27464871	5.312987e-01	1
FGF10	107231	886	-39	1465338	388227	0	2	0	0	50	41	45437154	5.313627e-01	1
SNRPN	NaN	NaN	NaN	1636586	543907	0	2	2	0	5	8	7027006	5.313636e-01	1
SCUBE1	473937	440	30	7071764	1839943	0	4	2	0	17	8	19573841	5.313975e-01	1
PRRG4	392152	375	10	1595720	450499	0	1	0	0	50	48	75465880	5.314921e-01	1
DAND5	1886809	335	40	1243494	437850	0	1	0	0	50	32	49716408	5.315921e-01	1
ALKBH1	455772	384	47	2726346	758940	0	3	1	0	50	39	58685522	5.318377e-01	1
RGS21	123814	860	-26	1127707	258818	0	1	0	0	50	53	58369297	5.319979e-01	1
ATP6V0A2	953707	315	40	6117251	1609342	0	5	0	0	35	25	46719568	5.320570e-01	1
TFB1M	116637	428	26	2437365	677208	0	1	1	0	50	23	57345701	5.320678e-01	1
USP25	74958	477	30	7640969	1874971	0	3	0	0	37	13	51064013	5.320698e-01	1
RNMT	142674	697	42	3490151	803698	0	3	0	0	50	30	55663384	5.321832e-01	1
NEFL	180048	521	-2	3749942	1057651	0	2	0	0	9	4	8795920	5.322147e-01	1
PIGK	404438	673	-17	2878134	712236	0	2	0	0	50	36	46899573	5.322362e-01	1
LUC7L2	545432	339	30	2828511	718074	0	1	0	0	50	36	56934122	5.322502e-01	1
GALT	731413	298	51	2693264	756994	0	1	0	0	50	15	44444694	5.322997e-01	1
PKNOX2	412479	731	16	3347120	911701	0	4	0	0	50	35	57909068	5.324157e-01	1
TMPRSS15	274061	981	-64	7351015	1867187	0	7	4	0	50	37	41490666	5.324485e-01	1
ATL1	483990	295	43	4018490	1028461	0	3	0	0	50	36	58944340	5.326170e-01	1
CMTM2	777342	214	9	1726102	489419	0	1	0	0	50	27	58704982	5.326490e-01	1
ASPG	622747	468	20	3961083	1304793	0	1	0	0	50	24	54821739	5.327606e-01	1
KATNAL2	120136	561	12	3360742	892241	0	3	1	0	50	37	61906152	5.327683e-01	1
USF2	767246	472	7	2439311	704452	0	1	0	0	50	41	44769676	5.329038e-01	1
ZNF511	386585	472	13	1787401	498176	0	1	0	0	50	29	53877929	5.330502e-01	1
THBS3	1801444	194	32	6787648	1855511	0	7	2	0	50	42	54488000	5.331288e-01	1
TRMT12	489180	476	13	3014354	917539	0	2	0	0	50	29	50086148	5.331444e-01	1
KCNRG	337743	357	44	2102653	597422	0	1	0	0	50	26	56310429	5.331448e-01	1
CDK4	1160849	344	39	2091950	651910	0	2	0	0	50	43	55142829	5.334732e-01	1
SF3B4	798975	560	17	2857701	928242	0	2	1	0	50	55	62605739	5.336514e-01	1
FAM151A	723136	415	20	3965948	1259062	0	2	1	0	50	28	63270298	5.337476e-01	1
EARS2	528849	628	48	3598154	1089760	0	4	1	0	48	40	44912707	5.338533e-01	1
KLK15	655673	589	25	1766968	536123	0	5	3	0	6	8	4190711	5.338987e-01	1
USP37	841802	168	42	7067872	1782536	0	3	1	0	50	20	51831710	5.338999e-01	1
TPD52	211901	353	43	1826321	488446	0	1	1	0	8	1	6627103	5.339787e-01	1
SMC5	196227	395	-11	7987357	1943081	0	3	1	0	24	15	28717122	5.339891e-01	1
DAO	494991	393	49	2466555	697641	0	3	2	0	4	7	9501345	5.339954e-01	1
CHCHD7	343112	552	19	973973	173194	0	1	0	0	6	3	5364149	5.340467e-01	1
ERCC2	1280459	215	23	5500369	1592801	0	6	1	0	50	45	57922690	5.341410e-01	1
CARS2	532346	216	42	3979570	1137437	0	4	2	0	50	36	49937279	5.342166e-01	1
ACOT9	473183	NaN	48	3306254	800779	0	1	0	0	50	33	54415025	5.343822e-01	1
LIG1	973756	431	26	6500613	1871079	0	5	1	0	12	13	22404298	5.345813e-01	1
ZRSR2	170722	NaN	47	3538801	819266	0	1	0	0	50	33	55063043	5.346025e-01	1
FBXO36	352105	601	28	1335929	360010	0	1	0	0	50	36	66329410	5.351081e-01	1
PLIN2	500437	324	-7	3061058	856240	0	2	0	0	50	48	62442275	5.351676e-01	1
KBTBD8	99545	940	13	4221847	1090733	0	2	1	0	50	28	63320894	5.352814e-01	1
ARSD	191640	NaN	18	4457313	1296036	0	3	0	0	39	19	40532261	5.354353e-01	1
DNAJC4	1608193	179	61	1685236	498176	0	1	0	0	50	33	55220669	5.354811e-01	1
ESF1	123437	617	-10	6248606	1364146	0	8	1	0	6	11	8208228	5.355263e-01	1
RALB	221264	444	37	1483825	375578	0	1	0	0	50	44	62247675	5.355518e-01	1
ATP6V0C	2085452	321	49	1040137	349307	0	1	0	0	50	51	57533490	5.356162e-01	1
FUS	1250318	351	26	3767456	1010947	0	2	2	0	48	32	53957715	5.356645e-01	1
STK35	505026	539	32	3558261	1161762	0	3	0	0	50	44	58337188	5.357413e-01	1
C12orf71	489310	328	23	1863295	518609	0	1	0	0	50	29	54311887	5.358041e-01	1
ALG2	203560	410	37	2800294	868889	0	2	1	0	48	36	51161313	5.358090e-01	1
CHIC1	319167	NaN	11	1614207	414498	0	1	0	0	50	39	63321867	5.360776e-01	1
OR2F1	368507	732	-11	2127951	668451	0	1	0	0	25	24	25960613	5.360924e-01	1
NUP54	525212	403	38	3593289	983703	0	2	0	0	30	18	38349822	5.361281e-01	1
IFT27	1235005	537	19	1348578	359037	0	1	0	0	50	42	52037013	5.362012e-01	1
ANKRD1	103854	510	4	2293361	602287	0	3	2	0	15	10	9876923	5.362519e-01	1
CNGA2	126208	NaN	-2	4598398	1295063	0	4	0	0	6	3	8317204	5.362964e-01	1
SEC22A	338654	421	48	2179520	587692	0	1	0	0	50	30	65621066	5.363203e-01	1
RBPMS	473452	363	27	1918756	547799	0	1	0	0	50	45	51692571	5.364142e-01	1
DSCC1	294228	677	12	2839214	704452	0	1	2	0	38	25	35241087	5.364658e-01	1
ZNF727	NaN	NaN	NaN	3569937	837753	0	3	2	0	22	19	27007561	5.364795e-01	1
RNASE11	637784	493	22	1406958	356118	0	1	0	0	50	32	44918545	5.365437e-01	1
C19orf18	1252385	750	-19	1570422	385308	0	2	0	0	50	119	65350572	5.367038e-01	1
PDZRN4	15244	1060	-21	7401611	1997569	0	8	3	0	46	52	50086148	5.368689e-01	1
GRB7	1448852	226	36	3738266	1092679	0	3	1	0	50	68	76686995	5.369901e-01	1
DNAJB2	694442	193	44	2310875	666505	0	1	0	0	50	49	62603793	5.370135e-01	1
HYAL1	843769	206	51	2950136	902944	0	2	1	0	50	32	55955284	5.370420e-01	1
BRD9	875343	491	30	4491368	937972	0	4	1	0	50	38	53852631	5.370573e-01	1
RNF187	NaN	NaN	NaN	1604477	497203	0	1	1	0	30	26	43297527	5.371040e-01	1
JAK2	255685	634	28	8191687	1998542	0	5	1	0	50	20	49490672	5.371200e-01	1
PHF3	256893	371	24	14358561	3675021	0	8	0	0	2	1	5977139	5.371208e-01	1
LRRC3	893345	411	43	1684263	575043	0	1	0	0	50	32	66243786	5.372245e-01	1
SPP2	288133	558	9	1575287	368767	0	1	0	0	50	41	61313595	5.372673e-01	1
NMNAT1	744954	240	24	1983947	514717	0	1	0	0	50	32	62873314	5.373275e-01	1
UACA	247817	364	19	10289475	2449041	0	8	0	0	25	14	31723692	5.373519e-01	1
SAV1	458995	259	31	2678669	730723	0	2	0	0	50	40	54220425	5.374714e-01	1
UNC5A	1056724	222	44	5793242	1752373	0	5	1	0	50	36	59347162	5.375120e-01	1
ST8SIA3	298355	599	9	2655317	716128	0	2	1	0	50	46	62466600	5.375169e-01	1
RAB8A	761374	298	42	1525664	377524	0	1	0	0	50	34	51387049	5.375524e-01	1
GPR62	1013177	370	39	2245684	985649	0	3	0	0	50	43	54013176	5.375941e-01	1
EDEM3	370601	493	4	6678672	1713453	0	4	2	0	14	6	20473866	5.376485e-01	1
CDRT4	405431	452	-68	1065435	288981	0	1	0	0	50	77	78816892	5.376723e-01	1
OSBPL8	586978	492	3	6467531	1594747	0	3	0	0	45	22	47287800	5.377021e-01	1
ARAP3	771583	353	25	10620295	3282902	0	6	3	0	50	30	62841205	5.378302e-01	1
KRTAP11-1	31443	1030	-60	1081976	360010	0	1	0	0	50	43	45236716	5.378835e-01	1
CHTF18	1187310	273	39	6667969	2141573	0	4	0	0	16	11	19986393	5.378902e-01	1
OR4S1	278638	642	-40	2088058	623693	0	2	0	0	50	58	59737335	5.380029e-01	1
GPHN	262406	846	19	5445881	1553881	0	3	1	0	50	31	59334513	5.380639e-01	1
DFFA	829921	392	32	2351741	684019	0	3	0	0	50	47	63427924	5.380826e-01	1
FHDC1	227983	342	25	7747999	2392607	0	6	4	0	27	15	26633929	5.381069e-01	1
LYPD5	464802	286	11	1731940	527366	0	2	0	0	50	38	62764338	5.381332e-01	1
CRYBB3	247839	525	-31	1517880	396984	0	1	0	0	50	42	57928528	5.381552e-01	1
MYH9	1223952	226	49	13971307	3668210	0	15	4	0	25	25	34253492	5.381588e-01	1
BRSK1	1032110	209	12	5380690	1651181	0	6	2	0	50	32	45850679	5.381821e-01	1
ZBED5	NaN	NaN	NaN	4756997	1320361	0	3	0	0	50	88	109677533	5.382682e-01	1
PRKDC	902699	459	27	29394330	7758702	0	24	3	0	9	5	12710299	5.383298e-01	1
CHAC2	NaN	NaN	NaN	1294090	355145	0	1	0	0	50	88	108712317	5.383537e-01	1
UGT8	32108	966	2	3749942	1054732	0	1	0	0	36	26	50279775	5.384790e-01	1
CALM1	323571	599	21	1121869	250061	0	1	0	0	50	37	56569247	5.385140e-01	1
SLC6A4	558157	298	25	4410609	1255170	0	6	3	0	34	23	30744854	5.385437e-01	1
CORO6	719319	383	30	3311119	941864	0	2	2	0	50	38	54699141	5.385831e-01	1
